score,count,rank_low,rank_high
361,383,172682,173064
360,373,173065,173437
359,338,173438,173775
358,347,173776,174122
357,366,174123,174488
356,352,174489,174840
355,358,174841,175198
354,346,175199,175544
353,350,175545,175894
352,321,175895,176215
351,329,176216,176544
350,365,176545,176909
349,335,176910,177244
348,339,177245,177583
347,359,177584,177942
346,302,177943,178244
345,300,178245,178544
344,273,178545,178817
343,311,178818,179128
342,304,179129,179432
341,286,179433,179718
340,315,179719,180033
339,292,180034,180325
338,307,180326,180632
337,285,180633,180917
336,254,180918,181171
335,255,181172,181426
334,264,181427,181690
333,271,181691,181961
332,264,181962,182225
331,284,182226,182509
330,257,182510,182766
329,232,182767,182998
328,263,182999,183261
327,205,183262,183466
326,229,183467,183695
325,241,183696,183936
324,245,183937,184181
323,221,184182,184402
322,237,184403,184639
321,248,184640,184887
320,218,184888,185105
319,230,185106,185335
318,231,185336,185566
317,236,185567,185802
316,216,185803,186018
315,214,186019,186232
314,189,186233,186421
313,221,186422,186642
312,200,186643,186842
311,223,186843,187065
310,171,187066,187236
309,192,187237,187428
308,189,187429,187617
307,202,187618,187819
306,191,187820,188010
305,198,188011,188208
304,220,188209,188428
303,194,188429,188622
302,191,188623,188813
301,193,188814,189006
300,166,189007,189172
299,166,189173,189338
298,179,189339,189517
297,176,189518,189693
296,165,189694,189858
295,140,189859,189998
294,151,189999,190149
293,138,190150,190287
292,139,190288,190426
291,150,190427,190576
290,129,190577,190705
289,139,190706,190844
288,147,190845,190991
287,155,190992,191146
286,127,191147,191273
285,122,191274,191395
284,124,191396,191519
283,121,191520,191640
282,105,191641,191745
281,119,191746,191864
280,103,191865,191967
279,119,191968,192086
278,123,192087,192209
277,102,192210,192311
276,111,192312,192422
275,94,192423,192516
274,97,192517,192613
273,95,192614,192708
272,100,192709,192808
271,82,192809,192890
270,91,192891,192981
269,98,192982,193079
268,89,193080,193168
267,85,193169,193253
266,77,193254,193330
265,83,193331,193413
264,81,193414,193494
263,82,193495,193576
262,70,193577,193646
261,76,193647,193722
260,58,193723,193780
259,68,193781,193848
258,66,193849,193914
257,72,193915,193986
256,51,193987,194037
255,62,194038,194099
254,62,194100,194161
253,57,194162,194218
252,46,194219,194264
251,57,194265,194321
250,54,194322,194375
249,36,194376,194411
248,53,194412,194464
247,49,194465,194513
246,48,194514,194561
245,41,194562,194602
244,41,194603,194643
243,25,194644,194668
242,29,194669,194697
241,31,194698,194728
240,36,194729,194764
239,34,194765,194798
238,30,194799,194828
237,36,194829,194864
236,18,194865,194882
235,32,194883,194914
234,32,194915,194946
233,30,194947,194976
232,32,194977,195008
231,21,195009,195029
230,23,195030,195052
229,16,195053,195068
228,20,195069,195088
227,20,195089,195108
226,14,195109,195122
225,16,195123,195138
224,24,195139,195162
223,19,195163,195181
222,21,195182,195202
221,10,195203,195212
220,27,195213,195239
219,19,195240,195258
218,14,195259,195272
217,17,195273,195289
216,12,195290,195301
215,14,195302,195315
