college_code,college_name,major_group_code,subject_requirement,min_score,source_image,status,estimated_cumulative_rank_from_score_distribution,rank_source,rank_status
3490,西南科技大学,500,选考化学,537,,visual_ocr_needs_spotcheck,43014,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3490,西南科技大学,999,不限选考科目,530,,visual_ocr_needs_spotcheck,47532,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3491,西南林业大学,500,选考化学,506,,visual_ocr_needs_spotcheck,64873,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3491,西南林业大学,999,不限选考科目,520,,visual_ocr_needs_spotcheck,54409,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3492,西南民族大学,500,选考化学,535,,visual_ocr_needs_spotcheck,44290,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3492,西南民族大学,999,不限选考科目,532,,visual_ocr_needs_spotcheck,46183,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3493,西南石油大学,500,选考化学,586,,visual_ocr_needs_spotcheck,17831,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3494,西南医科大学,500,选考化学,564,,visual_ocr_needs_spotcheck,27712,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3495,西南政法大学,999,不限选考科目,590,,visual_ocr_needs_spotcheck,16253,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3498,西南政法大学(中外合作),999,不限选考科目,597,,visual_ocr_needs_spotcheck,13740,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3499,咸阳师范学院,500,选考化学,495,,visual_ocr_needs_spotcheck,73670,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3499,咸阳师范学院,999,不限选考科目,497,,visual_ocr_needs_spotcheck,72041,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3501,香港城市大学(东莞),500,选考化学,617,,visual_ocr_needs_spotcheck,7670,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3505,香港珠海学院,999,不限选考科目,452,,visual_ocr_needs_spotcheck,110007,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3506,湘南学院,500,选考化学,506,,visual_ocr_needs_spotcheck,64873,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3506,湘南学院,999,不限选考科目,503,,visual_ocr_needs_spotcheck,67246,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3507,湘潭大学,500,选考化学,578,,visual_ocr_needs_spotcheck,21173,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3507,湘潭大学,999,不限选考科目,573,,visual_ocr_needs_spotcheck,23443,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3508,湘潭理工学院,500,选考化学,471,,visual_ocr_needs_spotcheck,93819,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3508,湘潭理工学院,999,不限选考科目,466,,visual_ocr_needs_spotcheck,98212,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3510,新疆财经大学,500,选考化学,493,,visual_ocr_needs_spotcheck,75303,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3510,新疆财经大学,999,不限选考科目,487,,visual_ocr_needs_spotcheck,80259,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3511,新疆大学,500,选考化学,566,,visual_ocr_needs_spotcheck,26736,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3511,新疆大学,900,选考地理,572,,visual_ocr_needs_spotcheck,23889,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3511,新疆大学,999,不限选考科目,557,,visual_ocr_needs_spotcheck,31329,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3512,新疆第二医学院,500,选考化学,474,,visual_ocr_needs_spotcheck,91278,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3512,新疆第二医学院,516,选考化学且生物学,467,,visual_ocr_needs_spotcheck,97377,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3512,新疆第二医学院,617,选考生物学且思想政治,494,,visual_ocr_needs_spotcheck,74485,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3513,新疆工程学院,500,选考化学,478,,visual_ocr_needs_spotcheck,87828,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3513,新疆工程学院,999,不限选考科目,484,,visual_ocr_needs_spotcheck,82760,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3514,新疆和田学院,500,选考化学,482,,visual_ocr_needs_spotcheck,84464,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3514,新疆和田学院,999,不限选考科目,482,,visual_ocr_needs_spotcheck,84464,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3516,新疆科技学院,500,选考化学,480,,visual_ocr_needs_spotcheck,86154,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3516,新疆科技学院,516,选考化学且生物学,475,,visual_ocr_needs_spotcheck,90360,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
